time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,latitude,longitude,altitude,speed,yaw,pitch,roll
2024-09-29T08:30:02.315Z,0.0330,0.2142,-0.9785,0.0338,0.0055,0.0806,0.0023,-0.0000,-0.0117,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3558,-0.2259,0.0145
2024-09-29T08:30:02.321Z,-0.0037,0.2223,-0.9558,0.0338,0.0055,0.0806,0.0139,-0.0007,-0.0058,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2259,0.0142
2024-09-29T08:30:02.332Z,0.0052,0.2310,-0.9697,0.0338,0.0055,0.0806,0.0127,0.0238,-0.0050,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2259,0.0143
2024-09-29T08:30:02.342Z,0.0251,0.2139,-0.9944,0.0338,0.0055,0.0806,0.0023,0.0021,-0.0092,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2259,0.0144
2024-09-29T08:30:02.353Z,0.0190,0.2248,-0.9590,0.0338,0.0055,0.0806,0.0100,0.0099,-0.0010,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2259,0.0144
2024-09-29T08:30:02.362Z,-0.0096,0.2231,-0.9676,0.0338,0.0055,0.0806,0.0033,-0.0210,-0.0075,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2259,0.0142
2024-09-29T08:30:02.372Z,0.0221,0.2240,-0.9619,0.0338,0.0055,0.0806,0.0076,0.0286,-0.0075,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3558,-0.2259,0.0144
2024-09-29T08:30:02.382Z,0.0278,0.2135,-1.0063,0.0338,0.0055,0.0806,0.0094,0.0026,-0.0099,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3558,-0.2259,0.0144
2024-09-29T08:30:02.392Z,0.0123,0.2273,-0.9512,0.0338,0.0055,0.0806,0.0138,0.0059,-0.0024,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3558,-0.2259,0.0144
2024-09-29T08:30:02.403Z,-0.0141,0.2292,-0.9750,0.0338,0.0055,0.0806,-0.0022,0.0052,-0.0056,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3558,-0.2259,0.0144
2024-09-29T08:30:02.412Z,0.0260,0.2192,-0.9630,0.0338,0.0055,0.0806,0.0021,0.0001,-0.0086,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3558,-0.2259,0.0142
2024-09-29T08:30:02.422Z,0.0270,0.2174,-0.9992,0.0338,0.0055,0.0806,0.0057,-0.0105,-0.0079,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2259,0.0145
2024-09-29T08:30:02.432Z,0.0114,0.2234,-0.9512,0.0338,0.0055,0.0806,0.0123,0.0189,-0.0061,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2259,0.0145
2024-09-29T08:30:02.442Z,0.0024,0.2313,-0.9771,0.0338,0.0055,0.0806,0.0089,0.0069,-0.0042,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3558,-0.2259,0.0143
2024-09-29T08:30:02.455Z,0.0325,0.2144,-0.9808,0.0338,0.0055,0.0806,-0.0004,-0.0002,-0.0116,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3558,-0.2259,0.0143
2024-09-29T08:30:02.461Z,0.0225,0.2206,-0.9747,0.0338,0.0055,0.0806,0.0099,0.0037,-0.0053,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3558,-0.2258,0.0145
2024-09-29T08:30:02.472Z,-0.0098,0.2230,-0.9558,0.0338,0.0055,0.0806,0.0097,-0.0089,-0.0034,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2258,0.0142
2024-09-29T08:30:02.482Z,0.0076,0.2304,-0.9659,0.0338,0.0055,0.0806,0.0122,0.0283,-0.0058,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2258,0.0142
2024-09-29T08:30:02.492Z,0.0267,0.2135,-0.9973,0.0338,0.0055,0.0806,0.0031,0.0050,-0.0112,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2258,0.0143
2024-09-29T08:30:02.503Z,0.0213,0.2264,-0.9589,0.0338,0.0055,0.0806,0.0090,0.0160,-0.0016,-35.365362810004015,149.09506469978865,618.6759,0.0000,0.3557,-0.2258,0.0144
