torqueX,torqueY,efficiencyX,efficiencyY,powerX,powerY
0.016018624952412700,0.9743800911298150,0.021555651215157600,0.0196290351553845,0.009678028458472680,0.053948939043393400
0.05344510490712170,0.938930244460235,0.05907795399734030,0.05585466343619180,0.030210241228819400,0.1227039897399200
0.09086506890956240,0.8986064654940290,0.0966044729839319,0.09523401261481660,0.049040091199021,0.19220334105475500
0.12829039899034200,0.8622965131250440,0.13412562589218500,0.13059953519621900,0.0695743317629168,0.2624751813259460
0.1657172622363610,0.8271333683552660,0.1716475453830580,0.16653846157722500,0.09181812275161660,0.337379064223678
0.20313492649094200,0.7850893779902510,0.20917559753488900,0.20706461835505600,0.11404866281217400,0.4023712528711290
0.24056025657172100,0.7487794256212660,0.24669828360838200,0.24357694853566500,0.1362857279509840,0.4722442000509150
0.27798673652643000,0.7133295789516860,0.2842186699340150,0.278369067317465,0.1619286831655870,0.5414995736706240
0.3154074671114910,0.6735792037850830,0.32174595550322600,0.31832182029569300,0.19098483152433500,0.6156000688568330
0.35283241390096,0.6369825495162970,0.35926787499409900,0.3542607466766990,0.22002610605086300,0.6785749375424100
0.3902558275251900,0.599239087648305,0.3967909443589020,0.3910597787571090,0.2541950783386200,0.7547327062465570
0.42767809127549000,0.5606355200809080,0.4343128638497740,0.42699870513811500,0.2917557102517930,0.8196285245075200
0.4651018881910300,0.5231787601127180,0.47183938283636600,0.46637805431674000,0.32930599329959800,0.8767833914738400
0.5028693824241520,0.48798525867119500,0.5093593858706890,0.5008834711987380,0.36683749507321800,0.919889865349885
0.5399513984786580,0.44969874967534400,0.5468820719441820,0.5373958013793470,0.40435673152492100,0.9538218784322800
0.5773721290637190,0.4099483745087410,0.5844108906786330,0.5784953619567810,0.4418454452119800,0.9649228635604790
0.6147974591444980,0.3736384221397560,0.6219347266260550,0.6158677978367950,0.4793522758016200,0.9895752918192970
0.6522235558078970,0.33790187357037500,0.6594539630777590,0.6497998109191900,0.5168270504613760,0.9902498845247120
0.6896458195581970,0.29929830600297800,0.6969804820643500,0.6891791600978150,0.5542838104295670,0.9774494879394550
0.7270692331824270,0.261554844134986,0.7345024015552230,0.7251180864788210,0.5917279217845310,0.9551879286607460
0.7644949465545160,0.2255315936658030,0.7720258542113360,0.7622038204590330,0.6291524852826900,0.9183045724921590
0.8019103877195000,0.1818247322819380,0.8095412577499400,0.7932688145434130,0.6665682330807220,0.8748270726281360
0.86315412972152,0.12412344522423100,0.8470401797622190,0.8120056269363260,0.7039678826437380,0.8193080929724470
0.9005809929675390,0.08896030045445320,0.8845065220131570,0.806372777846107,0.7396585895724560,0.759611697988474
0.9380009569699800,0.04863652148824690,0.9219211199372600,0.7620351722826790,0.7719267947016890,0.6881073072436550
0.9754274369246890,0.013186674818667100,0.9473840240590400,0.6966123284706110,0.8007966102489240,0.6228308594180050
,,0.9592115314769560,0.6248061511835490,0.82796108822957,0.5560735869105360
,,0.9693177734449610,0.5396050924895830,0.8517208054748890,0.49077863463220300
,,0.9771444542292490,0.44810783521173900,0.8737677398720230,0.4184337870390020
,,0.9826926278809230,0.3511028095744730,0.8975230401412940,0.3498349366772410
,,0.9876551004701350,0.24069728092442300,0.9195756965301260,0.28177013887393400
,,0.9909142264781730,0.13030018468319100,0.9399181801020750,0.20860774916869400
,,0.9947709994611660,0.0422391339985575,0.9602620690754940,0.13649659976272600
,,0.9992443923389520,-0.00929412708930144,0.9806045526474420,0.06333421005748520
,,,,0.9924689518539360,0.01912309062632290
